MemberName,Age,MembershipType,RegistrationDate
John Doe,25,Gold,2025-01-05
Jane Smith,30,Silver,2025-02-10
Michael Johnson,28,Gold,2025-03-15
Emily Davis,35,Silver,2025-04-20
William Brown,22,Gold,2025-05-25
Linda Wilson,40,Silver,2025-06-30
Robert Miller,29,Gold,2025-07-05
Patricia Taylor,31,Silver,2025-08-10
David Anderson,33,Gold,2025-09-15
Jennifer Thomas,27,Silver,2025-10-20
Charles Jackson,24,Gold,2025-11-25
Mary White,38,Silver,2025-12-30
Joseph Harris,26,Gold,2026-01-05
Barbara Martin,32,Silver,2026-02-10
Daniel Thompson,21,Gold,2026-03-15
john,30,gold,2025-09-10
